Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	16	26320139	27356667	-0.000000	0.017139	0.504677	0.390625
Amp	16	30128050	31691912	0.087512	0.083158	0.530370	0.421875
Amp	16	50783862	52085593	-0.000000	0.020151	0.475084	0.203125
Amp	16	55329601	58529615	-0.000000	0.000000	0.483905	0.171875
Amp	16	61579583	61579583	-0.000000	0.010707	0.538149	0.140625
Amp	16	67063350	67132647	-0.000000	0.039849	0.560780	0.156250
Amp	16	67645126	67671683	-0.000000	0.029142	0.547157	0.140625
Amp	16	68771343	68842399	0.188655	0.110870	0.645963	0.171875
Amp	16	68842674	68867298	0.001630	0.072082	0.556213	0.171875
Amp	16	72821905	72992685	-0.000000	0.008604	0.497772	0.140625
Amp	16	78785563	80160745	-0.000000	0.000000	0.385169	0.109375
Amp	16	81819691	82113471	-0.000000	0.039558	0.467953	0.125000
Amp	16	85880425	85880425	-0.000000	0.057326	0.466207	0.140625
Amp	16	89250882	89882984	-0.000000	0.017768	0.393553	0.125000
Amp	17	114669	953456	-0.000000	0.014635	0.318759	0.078125
Amp	17	986742	11396377	-0.000000	0.000000	0.305327	0.062500
Amp	17	11924261	17131327	-0.000000	0.007993	0.300977	0.062500
Amp	17	21809394	21809394	-0.000000	0.026172	0.570098	0.093750
Amp	17	29422358	29592302	0.188655	0.114424	0.631939	0.156250
Amp	17	29653054	29701102	0.275818	0.137844	0.734368	0.140625
Amp	17	30264403	30325850	0.128973	0.089371	0.611887	0.140625
Amp	17	30696292	31819598	0.015329	0.075477	0.682081	0.109375
Amp	17	31889954	33446592	-0.000000	0.065325	0.629142	0.125000
Amp	17	37618848	37682343	7.455884	0.653981	1.369872	0.234375
Amp	17	37687213	37687213	7.920315	0.679996	1.414014	0.234375
Amp	17	37855827	37855827	8.245895	0.703324	1.363182	0.250000
Amp	17	37856528	37884120	8.053579	0.691983	1.434817	0.234375
Amp	17	38487560	38499038	1.018868	0.231519	0.873884	0.171875
Amp	17	38504642	38512370	0.812155	0.205505	0.799484	0.171875
Amp	17	38566930	38566930	0.633049	0.182176	0.819362	0.156250
Amp	17	40353819	40500471	0.015329	0.074787	0.591747	0.140625
Amp	17	40854580	43344512	-0.000000	0.065325	0.564987	0.140625
Amp	17	43344950	43367984	0.188655	0.096907	0.654303	0.140625
Amp	17	45356561	45356561	0.039951	0.078728	0.670440	0.125000
Amp	17	46801061	46812061	7.508147	0.657043	1.199612	0.296875
Amp	17	47677812	47696672	8.245895	0.704620	1.168766	0.343750
Amp	17	47699369	47700134	7.584080	0.663322	1.120987	0.343750
Amp	17	50802507	50802507	4.076790	0.455395	1.029055	0.281250
Amp	17	53367300	53367300	4.993411	0.509585	1.102591	0.296875
Amp	17	55334135	55334135	8.075079	0.694550	1.395688	0.296875
Amp	17	55334479	55704627	7.574783	0.660281	1.422583	0.281250
Amp	17	55729491	55816832	6.115707	0.579705	1.308647	0.281250
Amp	17	56432326	56492813	8.109243	0.696925	1.418182	0.296875
Amp	17	56770077	56811531	9.003368	0.746010	1.483936	0.296875
Amp	17	58206139	58740635	14.603204	1.031697	1.683023	0.328125
Amp	17	59761079	59938854	12.793039	0.935389	1.502370	0.343750
Amp	17	62006635	62006635	6.115707	0.581100	1.206389	0.312500
Amp	17	62006815	62006815	5.644730	0.555260	1.173505	0.312500
Amp	17	62007189	62009588	4.608012	0.488421	1.088445	0.312500
Amp	17	63314191	63554331	3.782137	0.437086	1.091540	0.296875
Amp	17	64938342	64938342	3.646363	0.429769	1.027651	0.312500
Amp	17	66511629	66547245	4.297791	0.471282	1.137349	0.296875
Amp	17	68921040	69889186	3.134380	0.392109	1.081646	0.281250
Amp	17	70114461	70122461	3.181420	0.402409	1.038515	0.296875
Amp	17	72939446	72939446	2.081622	0.317497	0.919907	0.296875
Amp	17	73774740	73775192	2.843567	0.373732	0.980774	0.296875
Amp	17	74681435	74733062	1.516448	0.277513	0.851880	0.296875
Amp	17	77280338	77453363	1.966326	0.309536	0.823449	0.328125
Amp	17	78519511	78820324	1.391448	0.267609	0.793734	0.312500
Amp	17	78829306	80783009	2.145819	0.322164	0.863162	0.312500
Amp	18	724528	2548101	-0.000000	0.052303	0.656021	0.125000
Amp	18	7023594	29691607	-0.000000	0.000000	0.783387	0.078125
Amp	18	30089478	39661094	-0.000000	0.021968	0.719457	0.078125
Amp	18	42288477	48593473	-0.000000	0.044159	0.756277	0.078125
Amp	18	48603077	53631042	-0.000000	0.022190	0.714245	0.062500
Amp	18	54917232	74387299	-0.000000	0.000000	0.719966	0.046875
Amp	19	1207058	3121082	-0.000000	0.000000	0.376611	0.046875
Amp	19	4090651	4123827	-0.000000	0.029554	0.528009	0.078125
Amp	19	5206819	5286106	-0.000000	0.047176	0.470733	0.109375
Amp	19	7117244	7293853	-0.000000	0.000000	0.406460	0.109375
Amp	19	10244360	10305536	0.627353	0.174014	0.732469	0.156250
Amp	19	10597411	10982489	0.003185	0.073003	0.528191	0.140625
Amp	19	11015690	11170792	0.087512	0.083586	0.558119	0.140625
Amp	19	11172476	11172476	-0.000000	0.061240	0.550489	0.125000
Amp	19	13049539	13054627	0.384482	0.152126	0.736881	0.140625
Amp	19	13519303	14629056	0.732191	0.197434	0.719917	0.171875
Amp	19	15271999	15890517	1.018868	0.222453	0.777807	0.171875
Amp	19	17193551	19261518	0.188655	0.115212	0.643880	0.140625
Amp	19	28780462	30308381	-0.000000	0.000000	0.459083	0.156250
Amp	19	30311682	36229321	-0.000000	0.014569	0.475938	0.171875
Amp	19	36833798	36833798	-0.000000	0.045110	0.533464	0.156250
Amp	19	39538592	41765634	-0.000000	0.030541	0.528586	0.140625
Amp	19	42381414	42384991	-0.000000	0.048710	0.550030	0.093750
Amp	19	42753254	42799160	-0.000000	0.061322	0.525468	0.109375
Amp	19	45854933	45873796	1.018868	0.228018	0.762457	0.171875
Amp	19	47725067	47735816	0.631115	0.179308	0.714723	0.156250
Amp	19	50138875	50140344	0.732191	0.190340	0.675273	0.171875
Amp	19	50143279	51805318	0.627353	0.177727	0.704991	0.156250
Amp	19	52693389	53812523	0.003185	0.073799	0.431977	0.171875
Amp	19	56752041	58288169	-0.000000	0.062767	0.447097	0.156250
Amp	20	345864	7601013	-0.000000	0.000000	0.682199	0.250000
Amp	20	9520187	15770383	-0.000000	0.014680	0.560063	0.234375
Amp	20	16142333	22964799	0.275818	0.137884	0.677363	0.250000
Amp	20	30253821	30946607	0.660010	0.182953	0.716651	0.343750
Amp	20	30954228	31023688	0.546555	0.168273	0.766543	0.296875
Amp	20	31367937	31394074	-0.000000	0.045069	0.634916	0.281250
Amp	20	31395639	31395639	0.500328	0.162320	0.805457	0.281250
Amp	20	35478142	36031678	0.188655	0.117251	0.824241	0.265625
Amp	20	36971119	39924630	-0.000000	0.036853	0.686467	0.281250
Amp	20	40709546	41514510	-0.000000	0.063318	0.718808	0.296875
Amp	20	41759541	41818330	-0.000000	0.026465	0.669440	0.296875
Amp	20	41956920	41956920	0.003185	0.073484	0.702143	0.312500
Amp	20	46251033	46282156	0.188655	0.102953	0.685819	0.343750
Amp	20	48451129	48451129	0.572709	0.170258	0.763686	0.343750
Amp	20	51970961	52776841	5.311558	0.528057	1.005325	0.406250
Amp	20	54945305	54945628	6.457926	0.599404	1.103645	0.390625
Amp	20	54948538	55178081	7.955213	0.682683	1.188431	0.390625
Amp	20	57415552	57429355	4.162274	0.462274	0.935765	0.390625
Amp	20	57466851	57485811	3.844012	0.441519	0.914635	0.390625
Amp	20	58054448	58196424	2.145819	0.325997	0.762543	0.406250
Amp	20	59928005	62327135	1.940391	0.305738	0.742711	0.406250
Amp	21	17798960	31384297	-0.000000	0.000000	0.674330	0.203125
Amp	21	36164670	36164670	0.188655	0.121909	0.663710	0.203125
Amp	21	36171679	36265241	0.332041	0.146495	0.732655	0.203125
Amp	21	36421168	37557474	0.188655	0.121909	0.724594	0.187500
Amp	21	37954722	41326577	0.178985	0.095567	0.638007	0.203125
Amp	21	41918958	41918958	-0.000000	0.021803	0.509523	0.187500
Amp	21	42462188	42879904	-0.000000	0.040103	0.548336	0.187500
Amp	21	43174436	45660694	-0.000000	0.060784	0.546647	0.203125
Amp	22	19053406	22127217	-0.000000	0.030232	0.442966	0.109375
Amp	22	22142612	41573869	-0.000000	0.000000	0.388547	0.093750
Amp	22	44445659	44445659	-0.000000	0.024777	0.488480	0.062500
Amp	22	45134197	49370834	-0.000000	0.053369	0.536330	0.078125
Del	 1	2488138	4849384	2.890580	0.201305	0.409067	0.296875
Del	 1	4859064	11167550	2.955881	0.211455	0.409067	0.296875
Del	 1	11177544	11327456	2.890580	0.208072	0.358081	0.312500
Del	 1	11337450	12106997	2.334406	0.179314	0.358081	0.312500
Del	 1	12116991	12166962	2.317387	0.177622	0.358081	0.312500
Del	 1	12176956	12276897	2.334406	0.179314	0.358081	0.312500
Del	 1	12286891	12556733	2.256071	0.174239	0.358081	0.312500
Del	 1	12566727	14015874	2.334406	0.179314	0.358081	0.312500
Del	 1	14025868	14065845	2.317387	0.177622	0.358081	0.312500
Del	 1	14075839	14115815	2.334392	0.179314	0.358081	0.312500
Del	 1	14125809	14905351	2.298260	0.177622	0.358081	0.312500
Del	 1	14915345	15235157	2.206140	0.170856	0.358081	0.312500
Del	 1	15245151	15395063	2.290350	0.177622	0.358081	0.312500
Del	 1	15405057	15425045	2.182532	0.170856	0.358081	0.312500
Del	 1	15435039	15554969	2.331940	0.179314	0.358081	0.312500
Del	 1	15564963	15724869	2.290350	0.177622	0.358081	0.312500
Del	 1	15734863	16134628	2.334406	0.179314	0.358081	0.312500
Del	 1	16144622	16199471	3.077081	0.218222	0.358081	0.312500
Del	 1	16208955	16256373	3.069707	0.216530	0.379687	0.312500
Del	 1	16265857	17370492	3.524046	0.241905	0.379687	0.312500
Del	 1	17380479	20601111	3.572076	0.243596	0.375433	0.328125
Del	 1	20611068	20760421	3.077081	0.216530	0.366011	0.328125
Del	 1	20770378	21118868	3.077081	0.218222	0.366011	0.328125
Del	 1	21128825	21298092	2.971150	0.213147	0.366011	0.328125
Del	 1	21308049	21318006	3.077081	0.218222	0.366011	0.328125
Del	 1	21327962	21507186	2.979096	0.213147	0.366011	0.328125
Del	 1	21517143	21626669	3.077081	0.218222	0.366011	0.328125
Del	 1	21636625	21676453	3.047074	0.216530	0.366011	0.328125
Del	 1	21686410	21985116	3.077081	0.218222	0.366011	0.328125
Del	 1	21995073	22034900	3.075995	0.216530	0.366011	0.328125
Del	 1	22044857	22154382	3.077081	0.218222	0.366011	0.328125
Del	 1	22164339	22263908	3.057901	0.216530	0.366011	0.328125
Del	 1	22273865	22427961	3.077081	0.218222	0.366011	0.328125
Del	 1	22437956	22477935	2.890580	0.208072	0.369794	0.312500
Del	 1	22487930	23881061	3.469481	0.238521	0.369794	0.312500
Del	 1	23884061	23885481	3.754604	0.255438	0.380261	0.343750
Del	 1	23889061	27112928	3.759862	0.260513	0.389116	0.359375
Del	 1	27122890	27541306	3.131148	0.223297	0.396719	0.312500
Del	 1	27551268	27630966	3.110909	0.221605	0.396719	0.312500
Del	 1	27640929	27730589	3.131148	0.223297	0.396719	0.312500
Del	 1	27740551	27919872	3.110909	0.221605	0.396719	0.312500
Del	 1	27929835	28298439	3.131148	0.223297	0.396719	0.312500
Del	 1	28308402	28408024	3.083879	0.221605	0.396719	0.312500
Del	 1	28417987	30535114	3.131148	0.223297	0.396719	0.312500
Del	 1	30794960	35013586	1.295837	0.123490	0.315683	0.265625
Del	 1	35468429	35528006	1.102815	0.111648	0.285244	0.234375
Del	 1	35537936	35716668	0.758580	0.087965	0.285244	0.234375
Del	 1	35726598	36004625	0.745079	0.086274	0.285244	0.234375
Del	 1	36014555	36856608	0.764430	0.087965	0.285244	0.234375
Del	 1	36866437	40361361	0.563510	0.072741	0.273356	0.218750
Del	 1	40366863	40407414	0.474839	0.067666	0.257952	0.171875
Del	 1	40417387	41634142	0.241719	0.047366	0.254194	0.187500
Del	 1	41644115	41713929	0.232628	0.045674	0.254194	0.187500
Del	 1	41723902	41953290	0.241719	0.047366	0.254194	0.187500
Del	 1	41963264	42302359	0.222054	0.043983	0.254194	0.187500
Del	 1	42312333	42392120	0.241719	0.047366	0.254194	0.187500
Del	 1	42402093	42501827	0.238378	0.045674	0.254194	0.187500
Del	 1	42511801	42631482	0.241719	0.047366	0.254194	0.187500
Del	 1	42641455	42811003	0.241719	0.045674	0.254194	0.187500
Del	 1	42820976	43808343	0.241719	0.047366	0.254194	0.187500
Del	 1	43818316	51554334	0.424372	0.064282	0.254194	0.187500
Del	 1	51564323	51893974	0.241719	0.047366	0.246014	0.203125
Del	 1	51903964	52183667	0.239640	0.045674	0.246014	0.203125
Del	 1	52193657	52733085	0.241719	0.047366	0.246014	0.203125
Del	 1	52743074	52803011	0.235569	0.045674	0.246014	0.203125
Del	 1	52813000	53801953	0.241719	0.047366	0.246014	0.203125
Del	 1	53811942	59255427	0.765083	0.087965	0.246014	0.203125
Del	 1	59265393	59375019	0.745757	0.086274	0.274557	0.234375
Del	 1	59384985	66246413	1.156685	0.116723	0.274557	0.234375
Del	 1	66256143	66363176	1.152170	0.115032	0.292800	0.265625
Del	 1	66372906	70821919	1.185647	0.116723	0.292800	0.265625
Del	 1	70831901	71301053	0.640060	0.077815	0.262140	0.250000
Del	 1	71311035	71400873	0.604287	0.076124	0.262140	0.250000
Del	 1	71410855	71550602	0.621169	0.077815	0.262140	0.250000
Del	 1	71560584	71850061	0.613263	0.076124	0.262140	0.250000
Del	 1	71860043	72249340	0.486060	0.069357	0.262140	0.250000
Del	 1	72259321	72309231	0.635897	0.077815	0.262140	0.250000
Del	 1	72319213	72748438	0.486060	0.069357	0.262140	0.250000
Del	 1	72758420	74645011	0.610944	0.076124	0.262140	0.250000
Del	 1	74654993	74674957	0.641896	0.077815	0.262140	0.250000
Del	 1	74684939	74934488	0.589072	0.076124	0.262140	0.250000
Del	 1	74944470	75014343	0.585315	0.074432	0.262140	0.250000
Del	 1	75024325	75233947	0.619509	0.077815	0.262140	0.250000
Del	 1	75243929	84320820	1.478754	0.137023	0.262140	0.250000
Del	 1	84330790	84590016	0.825374	0.093040	0.299169	0.250000
Del	 1	84599986	96258925	0.826960	0.094732	0.299169	0.250000
Del	 1	99589424	99780284	0.711786	0.082890	0.248486	0.203125
Del	 1	102237818	108238876	0.410693	0.062591	0.247037	0.203125
Del	 1	108248809	108517005	0.352552	0.059207	0.265563	0.218750
Del	 1	108526938	113914298	0.402334	0.062591	0.265563	0.218750
Del	 1	113924295	114224225	0.370253	0.059207	0.265563	0.218750
Del	 1	114234223	115383955	0.400448	0.062591	0.265563	0.218750
Del	 1	115393953	115543918	0.390521	0.060899	0.265563	0.218750
Del	 1	115553916	116333734	0.409416	0.062591	0.265563	0.218750
Del	 1	117273534	120199189	0.644061	0.079507	0.265563	0.218750
Del	 1	120458623	147282446	0.073335	0.021991	0.218408	0.156250
Del	 1	149785031	150551663	-0.000000	0.001692	0.000000	0.000000
Del	 1	150552561	155880500	0.112910	0.027066	0.000000	0.000000
Del	 1	155880673	158457334	0.262672	0.050749	0.816560	0.015625
Del	 1	158467304	162688895	0.489717	0.069357	0.517088	0.046875
Del	 1	162698390	165044038	0.330817	0.057516	0.591588	0.046875
Del	 1	169022903	169102728	0.176286	0.038908	0.581715	0.031250
Del	 1	169112706	169322245	0.163442	0.037216	0.581715	0.031250
Del	 1	169332224	171796810	0.174776	0.038908	0.581715	0.031250
Del	 1	171806788	172096152	0.157303	0.035524	0.581715	0.031250
Del	 1	172106130	172116109	0.176286	0.038908	0.581715	0.031250
Del	 1	172126087	172375539	0.157303	0.035524	0.581715	0.031250
Del	 1	172385517	175869554	0.174776	0.038908	0.581715	0.031250
Del	 1	175914298	175924290	0.162849	0.037216	0.581715	0.031250
Del	 1	175934281	175944273	0.176286	0.038908	0.581715	0.031250
Del	 1	175954265	176983410	0.162849	0.037216	0.581715	0.031250
Del	 1	176993402	177003394	0.176286	0.038908	0.581715	0.031250
Del	 1	177013385	177123294	0.162849	0.037216	0.581715	0.031250
Del	 1	177133286	178072506	0.166365	0.038908	0.581715	0.031250
Del	 1	178082498	178292324	0.162849	0.037216	0.581715	0.031250
Del	 1	178302315	180250698	0.166365	0.038908	0.581715	0.031250
Del	 1	180260689	180390581	0.165145	0.037216	0.581715	0.031250
Del	 1	180400573	180410565	0.176286	0.038908	0.581715	0.031250
Del	 1	180420557	180800241	0.165145	0.037216	0.581715	0.031250
Del	 1	180810233	183631038	0.176286	0.038908	0.581715	0.031250
Del	 1	183640984	183889633	0.162849	0.037216	0.581715	0.031250
Del	 1	183899579	184048769	0.166892	0.038908	0.581715	0.031250
Del	 1	184058715	185690276	0.219083	0.042291	0.581715	0.031250
Del	 1	185700257	186249209	0.172588	0.038908	0.421801	0.046875
Del	 1	186259190	186438847	0.216605	0.042291	0.421801	0.046875
Del	 1	186448828	186448828	0.175763	0.038908	0.421801	0.046875
Del	 1	186458808	193091396	0.217980	0.042291	0.421801	0.046875
Del	 1	193101275	193209945	0.016122	0.015225	0.224422	0.031250
Del	 1	193219824	202188641	0.054317	0.020300	0.224422	0.031250
Del	 1	204494686	206646614	-0.000000	0.008458	0.109918	0.015625
Del	 1	206653506	206667289	-0.000000	0.003383	0.109918	0.015625
Del	 1	206669462	209632563	-0.000000	0.008458	0.109918	0.015625
Del	 1	214977365	220301005	-0.000000	0.003383	0.126936	0.015625
Del	 1	220310994	226497441	-0.000000	0.001692	0.000000	0.000000
Del	 1	226507254	231955411	0.013916	0.015225	0.000000	0.000000
Del	 1	231965411	232185408	0.006032	0.013533	0.441863	0.015625
Del	 1	232195407	237191096	0.016122	0.015225	0.441863	0.015625
Del	 1	237201090	238000600	-0.000000	0.011841	0.441863	0.015625
Del	 1	238010594	239779508	0.012793	0.015225	0.441863	0.015625
Del	 1	239789502	240079324	0.003985	0.013533	0.441863	0.015625
Del	 1	240089318	240239226	0.016122	0.015225	0.441863	0.015625
Del	 1	240249220	240638981	-0.000000	0.013533	0.441863	0.015625
Del	 1	240648975	240928803	0.009874	0.015225	0.441863	0.015625
Del	 1	240938797	241278588	-0.000000	0.011841	0.441863	0.015625
Del	 1	241288582	241298576	0.016122	0.015225	0.441863	0.015625
Del	 1	241308570	241528435	-0.000000	0.011841	0.441863	0.015625
Del	 1	241538429	242238000	0.015267	0.015225	0.441863	0.015625
Del	 1	242247994	242697718	-0.000000	0.013533	0.441863	0.015625
Del	 1	242707711	243427270	0.014370	0.015225	0.441863	0.015625
Del	 1	243437264	243497227	0.005706	0.013533	0.441863	0.015625
Del	 1	243507221	243517215	0.016122	0.015225	0.441863	0.015625
Del	 1	243527209	243637141	0.005706	0.013533	0.441863	0.015625
Del	 1	243647135	245912916	0.147326	0.033833	0.441863	0.015625
Del	 1	245922883	246580731	0.022857	0.018608	0.581860	0.015625
Del	 1	246590699	246660471	0.022857	0.016916	0.581860	0.015625
Del	 1	246670438	246670438	0.055961	0.020300	0.581860	0.015625
Del	 2	4717089	8133929	0.143646	0.030450	0.237137	0.093750
Del	 2	8143920	8473615	0.120894	0.028758	0.237137	0.093750
Del	 2	8483606	25457219	0.142800	0.030450	0.237137	0.093750
Del	 2	25463597	25582551	0.051788	0.020300	0.119701	0.062500
Del	 2	25592466	28101541	-0.000000	0.001692	0.119701	0.062500
Del	 2	28111503	28529915	0.156975	0.033833	0.119701	0.062500
Del	 2	28539877	30133244	0.274747	0.054133	0.119701	0.062500
Del	 2	30143192	36562722	0.372585	0.059207	0.259622	0.125000
Del	 2	36572704	36592666	-0.000000	0.010150	0.161262	0.078125
Del	 2	36602648	36762349	-0.000000	0.008458	0.161262	0.078125
Del	 2	36772331	39881990	-0.000000	0.010150	0.161262	0.078125
Del	 2	39891953	48743825	-0.000000	0.001692	0.119701	0.062500
Del	 2	48753786	49172131	-0.000000	0.003383	0.119701	0.062500
Del	 2	49182091	54907353	-0.000000	0.001692	0.119701	0.062500
Del	 2	54917350	55207263	-0.000000	0.003383	0.119701	0.062500
Del	 2	55217260	58476282	-0.000000	0.001692	0.119701	0.062500
Del	 2	58486279	96919700	-0.000000	0.003383	0.119701	0.062500
Del	 2	96920653	136872961	-0.000000	0.001692	0.182924	0.093750
Del	 2	136877061	153173234	0.122166	0.028758	0.190698	0.109375
Del	 2	153183204	153492285	0.113151	0.027066	0.267890	0.125000
Del	 2	153502256	159560048	0.122166	0.028758	0.267890	0.125000
Del	 2	164133568	179373287	-0.000000	0.001692	0.190698	0.109375
Del	 2	179383264	183565135	-0.000000	0.003383	0.205307	0.125000
Del	 2	183575132	193062354	-0.000000	0.001692	0.174887	0.109375
Del	 2	193072351	205397521	-0.000000	0.008458	0.174887	0.109375
Del	 2	205407495	206494663	-0.000000	0.003383	0.183829	0.125000
Del	 2	206504637	207292585	-0.000000	0.008458	0.183829	0.125000
Del	 2	207302559	207492065	-0.000000	0.006767	0.183829	0.125000
Del	 2	207502039	208140377	-0.000000	0.008458	0.183829	0.125000
Del	 2	208150351	212248563	0.073335	0.021991	0.183829	0.125000
Del	 2	212258556	213777543	0.018566	0.016916	0.206659	0.125000
Del	 2	213787537	214187270	0.006032	0.013533	0.206659	0.125000
Del	 2	214197264	215256557	-0.000000	0.006767	0.206659	0.125000
Del	 2	215266551	218134638	-0.000000	0.013533	0.206659	0.125000
Del	 2	218144631	218624312	-0.000000	0.011841	0.206659	0.125000
Del	 2	218634305	223171280	-0.000000	0.013533	0.206659	0.125000
Del	 2	223181273	225274159	0.080137	0.023683	0.206659	0.125000
Del	 2	225283911	227690638	0.241719	0.047366	0.214756	0.140625
Del	 2	227700631	228180258	0.240847	0.045674	0.261220	0.156250
Del	 2	228190250	228829752	0.241719	0.047366	0.261220	0.156250
Del	 2	228839745	230208680	0.235569	0.045674	0.261220	0.156250
Del	 2	230218672	230588384	0.229316	0.043983	0.261220	0.156250
Del	 2	230598377	230768244	0.241719	0.045674	0.261220	0.156250
Del	 2	230778237	232047250	0.241719	0.047366	0.261220	0.156250
Del	 2	232057242	232217117	0.241719	0.045674	0.261220	0.156250
Del	 2	232227110	232806659	0.241719	0.047366	0.261220	0.156250
Del	 2	232816651	233026488	0.227363	0.043983	0.261220	0.156250
Del	 2	233036480	233046472	0.241719	0.047366	0.261220	0.156250
Del	 2	233056465	233206348	0.227363	0.043983	0.261220	0.156250
Del	 2	233216340	233556076	0.241719	0.047366	0.261220	0.156250
Del	 2	233566068	233616029	0.240847	0.045674	0.261220	0.156250
Del	 2	233626022	233646006	0.241719	0.047366	0.261220	0.156250
Del	 2	233655998	233715952	0.240847	0.045674	0.261220	0.156250
Del	 2	233725944	233905804	0.241719	0.047366	0.261220	0.156250
Del	 2	233915796	234125633	0.235569	0.045674	0.261220	0.156250
Del	 2	234135625	234515330	0.241719	0.047366	0.261220	0.156250
Del	 2	234525322	234525322	0.241719	0.045674	0.261220	0.156250
Del	 2	234535314	236383876	0.241719	0.047366	0.261220	0.156250
Del	 2	236393868	236763581	0.229316	0.043983	0.261220	0.156250
Del	 2	236773573	237043363	0.203188	0.042291	0.261220	0.156250
Del	 2	237053355	237213231	0.241719	0.047366	0.261220	0.156250
Del	 2	237223223	237423068	0.236942	0.045674	0.261220	0.156250
Del	 2	237433060	238522213	0.241719	0.047366	0.261220	0.156250
Del	 2	238532205	238582166	0.241719	0.045674	0.261220	0.156250
Del	 2	238592158	242800953	0.241719	0.047366	0.261220	0.156250
Del	 3	1449872	2129078	-0.000000	0.011841	0.311660	0.250000
Del	 3	2139066	2918155	-0.000000	0.006767	0.311660	0.250000
Del	 3	2928143	4516286	-0.000000	0.011841	0.311660	0.250000
Del	 3	4526274	4775982	-0.000000	0.010150	0.311660	0.250000
Del	 3	4785970	4795959	-0.000000	0.011841	0.311660	0.250000
Del	 3	4805947	4895842	-0.000000	0.010150	0.311660	0.250000
Del	 3	4905830	6883517	-0.000000	0.011841	0.311660	0.250000
Del	 3	6893506	7792454	-0.000000	0.006767	0.311660	0.250000
Del	 3	7802443	8531590	-0.000000	0.010150	0.311660	0.250000
Del	 3	8541578	9031006	-0.000000	0.011841	0.311660	0.250000
Del	 3	9040994	23226448	0.099054	0.025375	0.311660	0.250000
Del	 3	23236418	25569565	-0.000000	0.001692	0.322116	0.250000
Del	 3	26806108	29047673	0.299165	0.055824	0.322116	0.250000
Del	 3	29250696	32670357	1.380666	0.130256	0.350227	0.375000
Del	 3	33432307	34786456	0.456634	0.065974	0.349320	0.250000
Del	 3	36109775	37478105	0.127896	0.028758	0.384628	0.265625
Del	 3	37488093	37867630	0.108463	0.027066	0.384628	0.265625
Del	 3	37877618	39835229	0.117026	0.028758	0.384628	0.265625
Del	 3	39845217	40194790	0.100775	0.027066	0.384628	0.265625
Del	 3	40204778	41273474	0.114963	0.028758	0.384628	0.265625
Del	 3	41283462	41433279	0.267314	0.050749	0.384628	0.265625
Del	 3	41443267	41443267	0.274747	0.052441	0.384628	0.265625
Del	 3	43177020	47195598	0.892616	0.098115	0.403948	0.281250
Del	 3	47205379	52443597	0.934269	0.099807	0.398606	0.312500
Del	 3	52443876	52702901	0.945378	0.103190	0.418279	0.328125
Del	 3	52712881	52932441	0.976095	0.104882	0.405955	0.343750
Del	 3	52942421	53082140	0.956965	0.103190	0.405955	0.343750
Del	 3	53092120	53511280	0.966790	0.104882	0.405955	0.343750
Del	 3	53521260	53830639	0.934269	0.101498	0.405955	0.343750
Del	 3	53840619	54140019	0.970111	0.104882	0.405955	0.343750
Del	 3	54149999	54648998	0.823330	0.093040	0.405955	0.343750
Del	 3	54658978	54678938	0.976095	0.104882	0.405955	0.343750
Del	 3	54688918	54938418	0.823330	0.093040	0.405955	0.343750
Del	 3	54948398	54968358	0.976095	0.104882	0.405955	0.343750
Del	 3	54978338	55118058	0.823330	0.093040	0.405955	0.343750
Del	 3	55128038	59789176	0.978328	0.104882	0.405955	0.343750
Del	 3	59799171	61528357	0.764517	0.087965	0.386017	0.328125
Del	 3	61538352	62098088	0.509112	0.071049	0.386017	0.328125
Del	 3	62108084	62118079	0.644061	0.077815	0.386017	0.328125
Del	 3	62128074	62228027	0.509112	0.071049	0.386017	0.328125
Del	 3	62238022	62367961	0.631067	0.077815	0.386017	0.328125
Del	 3	62377956	62867726	0.555791	0.072741	0.386017	0.328125
Del	 3	62877721	63117608	0.640060	0.077815	0.386017	0.328125
Del	 3	63127603	63417467	0.675292	0.081199	0.386017	0.328125
Del	 3	63427462	63587387	0.703144	0.082890	0.386017	0.328125
Del	 3	63597382	69788801	0.745079	0.084582	0.386017	0.328125
Del	 3	69798601	70004399	0.685612	0.082890	0.390717	0.328125
Del	 3	70014199	71189414	0.959393	0.103190	0.390717	0.328125
Del	 3	71199085	71247443	0.934269	0.101498	0.404796	0.328125
Del	 3	72323171	72799711	1.105020	0.113340	0.406695	0.312500
Del	 3	72809555	75155242	0.934269	0.103190	0.430941	0.312500
Del	 3	75164859	88015720	0.644061	0.077815	0.402239	0.296875
Del	 3	88025685	89451570	0.099804	0.025375	0.361202	0.203125
Del	 3	89461182	89521063	0.082434	0.023683	0.363827	0.187500
Del	 3	89528600	94429172	0.100264	0.025375	0.363827	0.187500
Del	 3	95454468	128205760	-0.000000	0.001692	0.252711	0.125000
Del	 3	134069661	138374300	0.934269	0.101498	0.185329	0.078125
Del	 3	138383428	138429069	0.672813	0.081199	0.146614	0.078125
Del	 3	138438197	138662061	0.657114	0.079507	0.146614	0.078125
Del	 3	138666561	182885040	-0.000000	0.001692	0.179185	0.078125
Del	 3	182895033	183154833	-0.000000	0.003383	0.179185	0.078125
Del	 3	183164825	184973436	-0.000000	0.001692	0.179185	0.078125
Del	 3	184983428	185198169	-0.000000	0.011841	0.179185	0.078125
